Soru,Cevap
Devamsızlıktan kaldığım dersin bütünleme sınavına girebilir miyim?,Üniversitemizde bir dersten devamsızlıktan kalan öğrenci o dersin bütünleme sınavına giremez.
Tek ders sınavı nedir? Tek ders sınavına ne zaman başvurmam gerekir?,Müfredatınızda tanımlı bütün dersleri almış fakat mezuniyetiniz için daha önce devam şartını sağladığınız tek dersinizin kalmış olması durumunda o dersten tek ders sınavına girebilirsiniz. Bütünleme sınavlarını takip eden bir hafta içinde dilekçe ile biriminize başvurmanız ve başvurunuzun uygun görülmesi halinde on gün içinde birimlerce açılacak tek ders sınavına girebilirsiniz.
Tek ders sınavı için başvuru yapmam lazım mı?,Müfredatınızda tanımlı bütün dersleri almış fakat mezuniyetiniz için daha önce devam şartını sağladığınız tek dersinizin kalmış olması durumunda o dersten tek ders sınavına girebilirsiniz. Bütünleme sınavlarını takip eden bir hafta içinde dilekçe ile biriminize başvurmanız ve başvurunuzun uygun görülmesi halinde on gün içinde birimlerce açılacak tek ders sınavına girebilirsiniz.
Tek ders sınavı sonucunda hangi not aldığımda başarılı sayılabilirim?,Tek ders sınavında ara sınav şartı aranmaksızın en az CC alırsanız başarılı sayılırsınız.
Tek ders sınavını nasıl geçerim ?,Tek ders sınavında ara sınav şartı aranmaksızın en az CC alırsanız başarılı sayılırsınız.
Henüz staj dersimi tamamlamadığım halde tek ders sınavına girebilir miyim?,Evet. öğrenciler staj dersini tamamlamasa bile tek ders sınavına girebilirler.
Stajı vermeden tek ders sınavına girebilir miyim ?,Evet. öğrenciler staj dersini tamamlamasa bile tek ders sınavına girebilirler.
Bağıl değerlendirme nedir?,"Öğrencilerin yarıyıl içi çalışmaları (laboratuvar, kısa sınav, ödev vb.) ile ara sınav ve yarıyıl sonu sınavı katkı paylarına göre hesaplanan ağırlıklı ortalamasını, o dersi alan diğer öğrencilerin puanlarını dikkate alarak başarı düzeyini belirleyen bir sistemdir."
Bağıl değerlendirmeye dahil edilmek için alt not var mıdır?,Eğer öğrencinin ham puanı 20'nin altındaysa bağıl değerlendirmeye dahil edilmez ve FF not alır.
"Bağıl değerlendirmeye kimler girer, hangi öğrenciler girmez.",Eğer öğrencinin ham puanı 20'nin altındaysa bağıl değerlendirmeye dahil edilmez ve FF not alır.
Öğrenci sayısına göre değerlendirmelerde farklılık var mıdır?,Öğrenci sayısı 10 ve altında ise öğrenciler mutlak değerlendirmeye tabi tutulur. 11 - 29 arası farklı 30 ve üstü ise farklı kriterlere göre değerlendirilir.
Az sayıda öğrenci varsa dersin değerlendirmesi nasıl olur.,Öğrenci sayısı 10 ve altında ise öğrenciler mutlak değerlendirmeye tabi tutulur. 11 - 29 arası farklı 30 ve üstü ise farklı kriterlere göre değerlendirilir.
Bir dersten başarılı sayılabilmek için Yarıyıl/Yıl Sonu Sınavı Alt Limiti var mıdır?,100 puan üzerinden 50’nin altında not alan öğrenciler başarısız sayılır fakat bağıl değerlendirmeye dahil edilirler.
Finalden kaç alırsam dersten kalırım,100 puan üzerinden 50’nin altında not alan öğrenciler başarısız sayılır fakat bağıl değerlendirmeye dahil edilirler.
AKTS Kredi Sistemi Nedir?,"AKTS kredisi, ders ünitelerini tamamlamak için gerekli öğrenci iş yükünü gösteren (1 ile 60 arasında) sayısal bir değerdir. Bu değer, bir kurumdaki yıllık akademik çalışma içerisinde her bir dersin gerektirdiği iş yükünü gösterir. Bu iş yükü içerisine bir akademik yılda ders kapsamındaki pratik çalışmalar, seminerler, alan çalışmaları, bireysel çalışmalar, sınavlar gibi çalışmalar da girer."
AKTS ne işe yarar,"AKTS kredisi, ders ünitelerini tamamlamak için gerekli öğrenci iş yükünü gösteren (1 ile 60 arasında) sayısal bir değerdir. Bu değer, bir kurumdaki yıllık akademik çalışma içerisinde her bir dersin gerektirdiği iş yükünü gösterir. Bu iş yükü içerisine bir akademik yılda ders kapsamındaki pratik çalışmalar, seminerler, alan çalışmaları, bireysel çalışmalar, sınavlar gibi çalışmalar da girer."
Bir dersin AKTS Kredisi değeri nasıl hesaplanır?,"AKTS değeri, o dersin iş yükünün hesaplanması ile oluşur. Örneğin 2 kredilik bir ders için AKTS değerini hesaplamaya çalışalım. 2 saatlik olan ve 14 haftalık ders için; 28 saatlik derse katılım, 1 saat vize, 1 saat final sınavı, 6 saat sınava hazırlık, 14 saat ise ders ve ödev olarak düşünüldüğünde öğrenciye 50 saatlik iş yükü yüklemektedir. 50 saatlik iş yükü de 2 AKTS’lik değer oluşturmaktadır."
AKTS neye göre hesaplanır,"AKTS değeri, o dersin iş yükünün hesaplanması ile oluşur. Örneğin 2 kredilik bir ders için AKTS değerini hesaplamaya çalışalım. 2 saatlik olan ve 14 haftalık ders için; 28 saatlik derse katılım, 1 saat vize, 1 saat final sınavı, 6 saat sınava hazırlık, 14 saat ise ders ve ödev olarak düşünüldüğünde öğrenciye 50 saatlik iş yükü yüklemektedir. 50 saatlik iş yükü de 2 AKTS’lik değer oluşturmaktadır."
Üniversiteyi bitirme şartı nedir ?,"Kayıtlı olduğunuz öğretim programının ders, uygulama, staj gibi tüm gereklerini OMU Eğitim Öğretim ve Sınav Yönetmeliği hükümlerine göre başarıyla tamamlamanız ve GANO’nuzun 2,00 veya daha yüksek olması halinde diploma almaya hak kazanırsınız."
Mezun olabilme koşulları nelerdir?,"Kayıtlı olduğunuz öğretim programının ders, uygulama, staj gibi tüm gereklerini OMU Eğitim Öğretim ve Sınav Yönetmeliği hükümlerine göre başarıyla tamamlamanız ve GANO’nuzun 2,00 veya daha yüksek olması halinde diploma almaya hak kazanırsınız."
Üniversiteden nasıl mezun olurum,"Kayıtlı olduğunuz öğretim programının ders, uygulama, staj gibi tüm gereklerini OMU Eğitim Öğretim ve Sınav Yönetmeliği hükümlerine göre başarıyla tamamlamanız ve GANO’nuzun 2,00 veya daha yüksek olması halinde diploma almaya hak kazanırsınız."
Üniversitemizden mezun olabilmek için kaç AKTS krediyi kamamlamam gerekmektedir?,"5-i Dersleri dışında dört yıllık öğretim programlarında 240 AKTS, beş yıllık öğretim programlarında 300 AKTS, altı yıllık öğretim programlarında 360 AKTS ve meslek yüksekokulu programlarında ise 120 AKTS kredisini tamamlamak üniversitemizin mezun olma şartıdır."
Kaç AKTS aldıktan sonra üniversiteyi bitirebilirim,"5-i Dersleri dışında dört yıllık öğretim programlarında 240 AKTS, beş yıllık öğretim programlarında 300 AKTS, altı yıllık öğretim programlarında 360 AKTS ve meslek yüksekokulu programlarında ise 120 AKTS kredisini tamamlamak üniversitemizin mezun olma şartıdır."
Burs başvuruları ne zaman yapılır?,Burs başvuruları ilgili kurumların ilan ettiği tarihler arasında yapılmaktadır. Burs verecek kurumların duyuruları ve WEB sayfalarını takip ederek tarihler öğrenilebilir.
Bursları nasıl takip edebilirim,Burs başvuruları ilgili kurumların ilan ettiği tarihler arasında yapılmaktadır. Burs verecek kurumların duyuruları ve WEB sayfalarını takip ederek tarihler öğrenilebilir.
Hangi şartlarda bursum kesilir?,"Kredi Yurtlar Kurumu bursu için yıllık toplam kredinin % 60’ını tamamlayamadığınız takdirde, Ondokuz Mayıs Üniversitesi Vakfı bursu için 1 dersten fazla dersten başarısız olduğunuz takdirde, diğer vakıflar için alttan dersinizin bulunması halinde bursunuz kesilir. Kayıtlı olduğunuz üniversiteden başka bir üniversiteye geçiş yaptığınız takdirde de bursunuz kesilir."
Derslerden kalırsam bursum gider mi,"Kredi Yurtlar Kurumu bursu için yıllık toplam kredinin % 60’ını tamamlayamadığınız takdirde, Ondokuz Mayıs Üniversitesi Vakfı bursu için 1 dersten fazla dersten başarısız olduğunuz takdirde, diğer vakıflar için alttan dersinizin bulunması halinde bursunuz kesilir. Kayıtlı olduğunuz üniversiteden başka bir üniversiteye geçiş yaptığınız takdirde de bursunuz kesilir."
Ne olursa bursum kesilir?,"Kredi Yurtlar Kurumu bursu için yıllık toplam kredinin % 60’ını tamamlayamadığınız takdirde, Ondokuz Mayıs Üniversitesi Vakfı bursu için 1 dersten fazla dersten başarısız olduğunuz takdirde, diğer vakıflar için alttan dersinizin bulunması halinde bursunuz kesilir. Kayıtlı olduğunuz üniversiteden başka bir üniversiteye geçiş yaptığınız takdirde bursunuz kesilir."
Diploma eki nedir?,"Diploma Eki (Diploma Supplement: DS), uluslararası saydamlığı pekiştirmeyi hedefleyen ve elde edilmiş yeti ve becerilerin ifade edildiği diploma, derece, sertifika gibi belgelerin, akademik ve meslekî tanınmasını sağlamaya yönelik, bir yükseköğretim diplomasına ek olarak verilen belgedir."
Diploma eki neden gereklidir?,"Orijinal diploma ve diğer belgeler kendi başlarına yeterli açıklayıcı bilgi arz etmediklerinden dolayı, ayrıntılı ek açıklama tedarik etmeden bir diplomanın düzey ve işlevini kabul ettirmek son derece güç bir hal almıştır. Bu yüzden diploma eki gereklidir."
Diploma ekinin Avrupa’daki tanınırlığı nedir?,"Ulusal kurumlar tarafından, Avrupa Komisyonu, Avrupa Konseyi ve UNESCO tarafından ortaklaşa hazırlanmış bir şablona göre düzenlenir. Bu üç kurumun organize ettiği bir ortak kurul tarafından denenmiş ve geliştirilmiş olan bu şablon, Avrupa Birliğinin tüm resmî dillerinde düzenlenmiştir."
Diploma ekini transkript yerine kullanabilir miyim?,"Hayır, Diploma eki transkript (not çizelgesi) veya diploma yerine geçmez."
Uluslararası öğrenciler değişim programından yararlanabilirler mi?,"Üniversitemizde bulunan uluslararası öğrenciler değişim programlarından (Mevlana, Erasmus, Farabi) yararlanabilirler."
Yabancı öğrenciler Erasmus'a gidebilir mi ?,"Üniversitemizde bulunan uluslararası öğrenciler değişim programlarından (Mevlana, Erasmus, Farabi) yararlanabilirler."
Erasmus'a kimler gidebilir,"Bu faaliyetin yararlanıcıları yükseköğretim kurumlarının öğrenci ve personelidir. Ancak, başvuru, yükseköğretim kurumu ya da ulusal yükseköğretim hareketlilik konsorsiyumu koordinatörü tarafından yapılmalıdır. Bireysel başvuru kabul edilmemektedir."
Erasmus için başvuru kimler yapabilir?,"Bu faaliyetin yararlanıcıları yükseköğretim kurumlarının öğrenci ve personelidir. Ancak, başvuru, yükseköğretim kurumu ya da ulusal yükseköğretim hareketlilik konsorsiyumu koordinatörü tarafından yapılmalıdır. Bireysel başvuru kabul edilmemektedir."
Ondokuzmayıs Üniversitesi konaklama imkanı sağlıyor mu? Uluslararası öğrenciler yurtlara başvurabilir mi? Başvuru şartlan ve olanaklar nelerdir?,Üniversitemiz kampüs içinde uzun süreli konaklama imkanı sunmamaktadır. Konaklamadan öğrencinin kendisi sorumludur.
Yabancı öğrencilere yurt sağlanıyor mu ?,Üniversitemiz kampüs içinde uzun süreli konaklama imkanı sunmamaktadır. Konaklamadan öğrencinin kendisi sorumludur.
Uluslararası öğrencilerin üniversitenize kabulü nasıl gerçekleşir? Giriş koşulları nelerdir?,İnternet sayfamızda 19 Mayıs Üniversitesi Önlisans ve Lisans Düzeyinde Ondokuz Mayıs Üniversitesi Uluslararası Öğrenci Başvuru Ve Kayıt Kabul Yönergesi’nde yer alan koşulları sağlayan öğrencilerin başvuruları değerlendirmeye alınır.
Yabancı öğrenciler nasıl üniversitemize kayıt olabilir ?,İnternet sayfamızda 19 Mayıs Üniversitesi Önlisans ve Lisans Düzeyinde Ondokuz Mayıs Üniversitesi Uluslararası Öğrenci Başvuru Ve Kayıt Kabul Yönergesi’nde yer alan koşulları sağlayan öğrencilerin başvuruları değerlendirmeye alınır.
Türkçe bilmiyorum. Bu konuda nasıl yardımcı olabilirsiniz?,"Üniversitemizin Türkçe Düzeyi C1 olan diploma düzeyidir. Türkçe bilmeyen ya da dil muafiyet sınavlarında başarılı olamayan öğrencilerimiz, Üniversitemiz Türkçe Öğretimi Uygulama ve Araştırma Merkezine ya da farklı bir Türkçe Eğitim Merkezine yönlendirilmektedirler. Diploma Düzeyi Seviyesine ulaştıktan sonra kayıtlı oldukları programda akademik eğitimlerine devam edebilirler. Ayrıntılı bilgi için: http://omuturkce.omu.edu.tr/"
Yabancı öğrenciler türkçeyi nereden ve nasıl öğrenebilir ?,"Üniversitemizin Türkçe Düzeyi C1 olan diploma düzeyidir. Türkçe bilmeyen ya da dil muafiyet sınavlarında başarılı olamayan öğrencilerimiz, Üniversitemiz Türkçe Öğretimi Uygulama ve Araştırma Merkezine ya da farklı bir Türkçe Eğitim Merkezine yönlendirilmektedirler. Diploma Düzeyi Seviyesine ulaştıktan sonra kayıtlı oldukları programda akademik eğitimlerine devam edebilirler. Ayrıntılı bilgi için: http://omuturkce.omu.edu.tr/"
Transkript belgemi nasıl alabilirim?,"Öğrenimine devam eden öğrencilerimiz transkript belgelerini bölüm/program sekreterliklerine şahsen başvurarak alabilmektedirler. Mezun olan öğrencilerimiz Öğrenci İşleri Daire Başkanlığı diploma birimine şahsen müracaat ederek alabilir, kendisi gelip alamıyor ise bir dilekçe ile adresine gönderilmesini isteyebilir. Transkript belgesinin 1 (bir) adedi ücretsizdir"
Yeni mezun oldum. Diplomamı ne zaman alabilirim?,Dönem sonlarında WEB sitemizde ilan edilen takvimde belirtilen tarihlerden itibaren öğrenci kimlik kartı ve nüfus cüzdanı ile birlikte Öğrenci İşleri Daire Başkanlığı Diploma Birimine müracaat edilerek diplomalar alınabilmektedir.
Diplomamı nereden alacağım ?,Dönem sonlarında WEB sitemizde ilan edilen takvimde belirtilen tarihlerden itibaren öğrenci kimlik kartı ve nüfus cüzdanı ile birlikte Öğrenci İşleri Daire Başkanlığı Diploma Birimine müracaat edilerek diplomalar alınabilmektedir.
Nasıl üniversitenizde özel öğrenci olabilirim ?,Üniversitemiz Özel Öğrenci Yönergesi'nde istenen belgelerle ilgili Fakülte/Yüksekokula dilekçe ile başvuru yapmanız gerekir.
Özel öğrenci olarak nasıl başvuru yapabilirim?,Üniversitemiz Özel Öğrenci Yönergesi'nde istenen belgelerle ilgili Fakülte/Yüksekokula dilekçe ile başvuru yapmanız gerekir.
Üniversitenize özel öğrenci olarak kabul edildim ne yapmalıyım?,"Özel öğrenci olarak kabul edildiğiniz birime (Merkez Kampüste ise Öğrenci İşleri Daire Başkanlığı, Merkez Kampüs Dışında İse Birimlerin Kendilerine) müracaat ederek, kesin kaydınızı yaptırmanız gerekmektedir."
Yatay geçiş başvuru tarihlerini nasıl öğrenebilirim?,Üniversitemiz ve Daire Başkanlığımız internet sayfalarında yayınlanan duyuruda yatay geçiş başvuru ve değerlendirme takvimi yayınlanmaktadır. Duyuru sayfasına ulaşmak için https://oidb.omu.edu.tr/tr/ogrenci/yatay-gecis adresini ziyaret edin.
Yatay geçiş nasıl yapabilirim ?,Üniversitemiz ve Daire Başkanlığımız internet sayfalarında yayınlanan duyuruda yatay geçiş başvuru ve değerlendirme takvimi yayınlanmaktadır. Duyuru sayfasına ulaşmak için https://oidb.omu.edu.tr/tr/ogrenci/yatay-gecis adresini ziyaret edin.
Yatay geçiş türleri nelerdir? Hangi türde başvuru yapabilirim?,"Kurum içi yatay geçiş: Üniversitemiz öğrencilerinin aynı düzeydeki diğer diploma programlarına geçiş türüdür. Sadece Üniversitemiz öğrencileri başvurabilir. Kurumlar arası yatay geçiş: Bir üniversite, yüksek teknoloji enstitüsü veya vakıflar tarafından bir üniversiteye bağlı olmaksızın kurulan meslek yüksekokullarından Ondokuz Mayıs Üniversitesindeki eşdeğer eğitim veren fakülte, yüksekokul veya bölüme yapılan geçiş türüdür. Farklı kurumlarda öğrenim gören öğrenciler başvuru yapabilir."
Yatay geçiş için gerekli başarı şartları nelerdir?,"Kurumlararası yatay geçiş başvurusu yapabilmek için öğrencinin kayıtlı olduğu programda bitirmiş olduğu dönemlere ait genel not ortalamasının; önlisans programları için 100 üzerinden en az 60 veya 4 üzerinden en az 2.00; lisans programları için 100 üzerinden en az 70 veya 4 üzerinden en az 2.50, Tıp Fakültesi öğrencileri için ise 100 üzerinden en az 70 veya 4 üzerinden en az 2,91 olması gerekmektedir. Ortalama şartını sağlayan öğrencilerin başarısız dersleri olması başvurularının değerlendirilmesine engel değildir."
Hangi şartlarda yatay geçiş yapabilirim ?,"Kurumlararası yatay geçiş başvurusu yapabilmek için öğrencinin kayıtlı olduğu programda bitirmiş olduğu dönemlere ait genel not ortalamasının; önlisans programları için 100 üzerinden en az 60 veya 4 üzerinden en az 2.00; lisans programları için 100 üzerinden en az 70 veya 4 üzerinden en az 2.50, Tıp Fakültesi öğrencileri için ise 100 üzerinden en az 70 veya 4 üzerinden en az 2,91 olması gerekmektedir. Ortalama şartını sağlayan öğrencilerin başarısız dersleri olması başvurularının değerlendirilmesine engel değildir."
Yatay geçiş yapabilme koşulu nedir ?,"Kurumlararası yatay geçiş başvurusu yapabilmek için öğrencinin kayıtlı olduğu programda bitirmiş olduğu dönemlere ait genel not ortalamasının; önlisans programları için 100 üzerinden en az 60 veya 4 üzerinden en az 2.00; lisans programları için 100 üzerinden en az 70 veya 4 üzerinden en az 2.50, Tıp Fakültesi öğrencileri için ise 100 üzerinden en az 70 veya 4 üzerinden en az 2,91 olması gerekmektedir. Ortalama şartını sağlayan öğrencilerin başarısız dersleri olması başvurularının değerlendirilmesine engel değildir."
Birden fazla üniversiteye yatay geçiş başvurusu yapabilir miyim?,"Farklı üniversitelere yatay geçiş başvurusu yapabilirsiniz. Birden çok yere kayıt hakkı kazanmanız durumunda, öğrenim görmek istediğiniz üniversiteye kaydınızı yaptırarak eğitiminize devam edebilirsiniz."
Yatay geçişle yabancı uyruklu öğrenci alıyor musunuz?,Kontenjan tablosunda yabancı uyruklu öğrenci kontenjanı bulunan programlara yatay geçiş başvurusu yapabilirsiniz.
Kayıtlı olduğum programı uzatmam durumunda katkı payını öder miyim?,Evet. Program süresini aşmanız durumunda ilgili dönem katkı payı ücreti ödenir.
Öğrenci harç iademi nasıl alabilirim?,"İade gerekçenizi belirtir bir dilekçe ve kendi adınıza açılmış hesaba ait 26 haneli IBAN numaranızı belirtir banka çıktı görüntüsü ile Öğrenci İşleri Daire Başkanlığı harç bürosuna başvurmanız sonrasında, iade gerekçenizin haklı görülmesi halinde iade alabilirsiniz."
Üniversitenizde kayıtlı öğrenciyim. Engelli raporum bulunmaktadır. Öğrenim ücretinin ne kadarını yatırmalıyım?,"Engelli olduğunuza dair sağlık raporunun aslı ve bir dilekçe ile birlikte okulunuz öğrenci işlerine müracaat etmeniz durumunda, engel oranınız kadar öğrenim ücretinden indirim yapılacaktır."
Muafiyet talep ettiğim dersin notu en az ne olmadır?,Bir dersten muaf olabilmesi için notunun en az CC ve üzeri olması gerekir. Fakat şartlı geçer statüsündeki ve bu derslerden geçmiş olmanız şartı ile daha alt notlardan da muafiyet talep edilebilir.
Daha önceden başardığım derslerden muaf tutulabilmem için ne yapmam gerekir?,"Fakülteye/yüksekokula/meslek yüksekokuluna ilk kez kayıt yaptıran öğrenciler, eğitim öğretimin başladığı tarihten itibaren üç hafta içinde daha önce öğrenim gördüğü yükseköğretim kurumlarında aldığı ve başarılı olduğu dersler için muaf olmak istediği dersleri içeren bir dilekçe, onaylı transkript ve onaylı ders içerikleriyle ile birlikte ilgili birime başvurabilirler."
Üniversiteden kaydımı sildirmek için ne yapmam gerekir?,"Kendiniz tarafından doldurulacak ilişik kesme formunu, form üzerinde belirtilen merkezlerde onaylattıktan sonra öğrenci işleri daire başkanlığına vermeniz yeterli olacaktır. Kaydınızın silinmesi ile birlikte öğrencilik hakkınız sona erer."
Sportif faaliyet dolayısıyla maksimum ne kadar izinli sayılabilirim?,"Üniversite tarafından görevlendirilmiş iseniz, görevli olduğunuz sürece izinli sayılırsınız. Ancak, izinli sayıldığınız süre de dahil, toplam devamsızlık süresi bir dersin o yarıyıldaki/yıldaki toplam saatinin % 50’sini aşamazsınız."
En fazla ne kadar süre kayıt dondurabilirim?,"Bir defada iki yarıyıla kadar olmak üzere, öğrenim süresi boyunca en fazla dört yarıyıl/iki yıl kaydınızı dondurulabilirsiniz."
Herhangi bir nedenle öğrenime ara vermek (kayıt dondurma) mümkün müdür?,"Evet. Öğrencilere, kanıtlayacakları önemli nedenlerin veya eğitim öğretimlerine katkıda bulunacak Üniversite dışı burs, staj, araştırma ve benzeri imkânların ortaya çıkması halinde ilgili yönetim kurulu kararı kayıt dondurabilirler."
Ders ekleme/çıkarma nedir? Bu işlemi nasıl yapmalıyım?,Seçmiş olduğunuz derslerden açılmayan seçmeli ders olduğunda veya değiştirmek istediğiniz dersler için Akademik Takvimde belirtilen süreler içerisinde danışmanınızla irtibata geçerek yapabileceğiniz işlemdir.
Danışmanın kayıt olmak istediğim derslerde değişiklik yapma hakkı var mıdır?,Evet. Ondokuz Mayıs Üniversitesi Eğitim Öğretim ve Sınav Yönetmeliğinin 10. Maddesi 3. Fıkrası kapsamında danışman bu hakkını kullanabilir.
"Derslerde kontenjan dolu uyarısı veriyor, dersi seçemiyorum, ne yapmalıyım?",Öncelikle alabileceğiniz diğer seçmeli veya grup dersini almaya çalışmalısınız. Tüm kontenjanlar doluysa danışmanınızla iletişime geçmeniz gerekmektedir.
Bir dönemde kaç AKTS'lik ders alma hakkım bulunmaktadır?,"Bir dönemde 30 AKTS'lik ders alma hakkınız bulunmaktadır. Fakat başarı durumunuza göre ilave olarak 6, 10, 12 veya 15 AKTS oranlarında fazla ders alabilirsiniz."
Sistem giriş şifremi unuttuğum için sisteme giriş yapamıyorum. Ne yapmalıyım?,"Eğitim gördüğünüz birime ait bölüm sekreterine ulaşarak, eğer sekreterinize ulaşamıyorsanız, 0 362 312 19 40 numaralı hattı arayarak şifrenizi sıfırlattıktan sonra ubs.omu.edu.tr adresinde yer alan İLK ŞİFRE OLUŞTUR linkini tıklayarak yeniden şifrenizi oluşturabilirsiniz"
Daha önce başarısız olduğum derslere devam zorunluluğum var mı?,"Tekrar alınan derslerin devam koşulu yerine getirilmişse, yeniden devam koşulu aranmaz. Fakat başarısız olduğunuz seçmeli ders yerine yeni seçtiğiniz seçmeli derse devam şartınız doğacaktır."
Seçmeli dersten başarısız oldum. Yerine başka seçmeli ders seçebilir miyim?,Evet. UBS’den ders seçimi yaparken almak istediğiniz seçmeli dersi seçip yerine değiştirmek istediğiniz diğer seçmeli dersin yerine alıyorum işlemini yapmanız gerekmektedir. Yerine ders seçme işlemini yapmazsanız bir sonraki dönemde sorun yaşayabilirsiniz.
Hangi durumda üst sınıftan ders alabilirim?,"Birinci yarıyıl sonundan itibaren; varsa öncelikle daha önce alıp başarısız olduğunuz dersleri ve öğrenim gördüğünüz yarıyıllarda almadığınız ders veya dersleri aldıktan sonra, her yarıyıl sonunda oluşan, genel not ortalamasına göre bir üst sınıftan kredi sınırları içerisinde kalarak ders alabilirsiniz."
Üniversitede toplam kaç profesör var?,Ondokuz Mayıs Üniversitesinde 560 profesör bulunmaktadır.
Üniversitede toplam kaç tane akademik personel var ?,Ondokuz Mayıs Üniversitesinde toplam 2497 akademik personel bulunmaktadır.
Üniversitede kaç tane Tubitak projesi var ?,2023 Yılı verilerine göre üniversitemizde toplam 42 adet Tubitak projesi bulunmaktadır.
Üniversitenin akademik personellerinin yaşları hakkında bilgi verir misin ?,"Üniversitemizde 25 yaşından küçük olan 12 akademisyen, 26-30 yaşları arasında 339 akademisyen, 31-35 yaşları arasında 491 akademisyen, 36-40 yaşları arasında 379 akademisyen, 41-50 yaşları arasında 617 akademisyen ve 51 yaşının üzerinde olan 659 akademisyen bulunmaktadır."
Mühendislik fakültesinde kaç adet profesör var ?,Mühendislik Fakültesinde 42 profesör bulunmaktadır.
Mühendislik fakültesinde kaç tane akademik personel var ?,Mühendislik Fakültesinde toplam 157 akademik personel bulunmaktadır.
En çok profesörün olduğu bölüm ve fakülte hangileridir ?,Üniversitemizde en çok profesör bulunduran fakülte 170 profesörle Tıp fakültesidir. Dahili Tıp Bilimleri Bölümü ise en çok profesör bulunduran bölümdür. Bu bölümde 87 profesör bulunmaktadır.
Bilgisayar Mühendisliği bölümünde kaç profesör bulunmaktadır?,Bilgisayar Mühendisliği fakültesinde 1 profesör bulunmaktadır.
Akademik Personelin Yabancı Dil İstatistikleri hakkında bilgi verir misin ?,"Üniversitemizde İngilizce yabancı dili bulunan 2059 akademisyen, Almanca dili bulunan 77 akademisyen, Fransızca dili bulunan 45 akademisyen, Arapça dili bulunan 42 akademisyen, Rusça dili bulunan 12 akademisyen, Farsça dili bulunan 6 akademisyen, İspanyolca dili bulunan 4 akademisyen ve İtalyanca dili bulunan 3 akademisyen vardır."
Akademik Personelin Cinsiyet İstatistikleri hakkında bilgi verir misin ?,"Üniversitemizde Toplam 1120 kadın adakemisyen ve 1377 erkek akademisyen bulunmaktadır. Bu verileri oranlarsak üniversitemizde %45 oranında kadın akademisyen, %55 oranında erkek akademisyen bulunmaktadır."
Üniversitedeki profesörlerin cinsiyet istatistikleri hakkında bilgi verir misin?,"Üniversitemizde Toplam 154 kadın profesör ve 406 erkek profesör bulunmaktadır. Bu verileri oranlarsak üniversitemizde %28 oranında kadın profesör, %72 oranında erkek profesör bulunmaktadır."
Üniversite öğrencilerinin cinsiyet istatistiklerini verir misin ?,"Üniversitemizde Toplam 13886 kız lisans öğrencisi ve 13327 erkek lisans öğrencisi bulunmaktadır. Bu verileri oranlarsak üniversitemizde %51 oranında kız öğrenci, %49 oranında erkek öğrenci bulunmaktadır."
Mühendislik fakültesinde kaç öğrenci var ?,Mühendislik Fakültesinde lisans seviyesinde 3192 öğrenci bulunmaktadır.
Bilgisayar mühendisliği bölümünde kaç adet öğrenci bulunuyor ?,Bilgisayar Mühendisliği Bölümünde lisans seviyesinde 519 öğrenci bulunmaktadır.
Bilgisayar mühendisliği bölümünde kaç adet laboratuvar bulunmaktadır ?,Bilgisayar Mühendisliği bölümünün internet sitesinden alınan bilgilere göre bölümde 11 adet laboratuvar bulunmaktadır.
Bilgisayar mühendisliği için ders programını nereden bulabilirim ?,Bilgisayar Mühendisliği bölümünün ders programını https://bil-muhendislik.omu.edu.tr/tr/egitim/ders-programlari adresinde bulabilirsiniz.
Bilgisayar mühendisliği öğretim üyeleri kimlerdir ?,https://bil-muhendislik.omu.edu.tr/tr/personel/ogretim-uyeleri Adresinden bilgisayar mühendisliği öğretim üyelerini ve uzmanlık alanlarını inceleyebilirsiniz.
